tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState,recoveryTicks,recoveryActivationCount,recoveryTimeoutCount
402,154,vehicle.diamondback.century,roadside_edge,96.6444139141742,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.43866765499115,2.89671659469604,0,0,normal,0,0,0
402,155,vehicle.carlamotors.carlacola,slow_through,77.3319213784327,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.278160691261292,-2.46600961685181,0,0,normal,0,0,0
402,156,vehicle.bh.crossbike,roadside_edge,44.5068839440973,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0.0119204446673393,-0.0977565944194794,0,0,normal,0,0,0
402,157,vehicle.audi.tt,turn_right,37.2948606905728,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.162578985095024,0.379293084144592,0,0,normal,0,0,0
402,158,vehicle.mitsubishi.fusorosa,straight_through,134.894640434132,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.612684667110443,-0.102599248290062,0,0,normal,0,8,0
402,159,vehicle.vespa.zx125,informal_merge,15.8317119464035,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00216841185465455,-0.00204579206183553,0,0,normal,0,0,0
402,160,vehicle.nissan.micra,turn_right,103.513762751971,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.311536341905594,-0.539572358131409,0,0,normal,0,0,0
402,161,vehicle.yamaha.yzf,following_ego_lane,188.253275664543,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.548919677734375,-0.965860724449158,0,0,normal,0,0,0
403,152,vehicle.tesla.model3,straight_through,103.635741338228,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000185599390533753,0.0124020744115114,0,0,normal,0,0,0
403,153,vehicle.harley-davidson.low_rider,turn_left,25.1852665463119,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.00304393284022808,2.53498864173889,0,0,normal,0,0,0
403,154,vehicle.diamondback.century,roadside_edge,97.0334344703195,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.438200682401657,2.89732933044434,0,0,normal,0,0,0
403,155,vehicle.carlamotors.carlacola,slow_through,77.4694594362757,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.277119547128677,-2.46614170074463,0,0,normal,0,0,0
403,156,vehicle.bh.crossbike,roadside_edge,44.5025022699102,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.00448124296963215,-0.31379646062851,0,0,normal,0,0,0
403,157,vehicle.audi.tt,turn_right,37.4562619827089,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.587470412254333,-0.321207910776138,0,0,normal,0,0,0
403,158,vehicle.mitsubishi.fusorosa,straight_through,135.35151565787,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.820302248001099,-0.0633834972977638,0,0,normal,0,8,0
403,159,vehicle.vespa.zx125,informal_merge,15.9852859009325,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00205096718855202,-0.00203608232550323,0,0,normal,0,0,0
403,160,vehicle.nissan.micra,turn_right,103.508046148363,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.387308686971664,-0.8219855427742,0,0,normal,0,0,0
403,161,vehicle.yamaha.yzf,following_ego_lane,188.161775591085,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,0.578778862953186,2.33152747154236,0,0,normal,0,0,0
404,152,vehicle.tesla.model3,straight_through,103.755279009194,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-2.70916916633723e-05,0.00221709674224257,0,0,normal,0,0,0
404,153,vehicle.harley-davidson.low_rider,turn_left,25.5726658509916,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.0057404194958508,2.73128128051758,0,0,normal,0,0,0
404,154,vehicle.diamondback.century,roadside_edge,97.3732810800366,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.455630868673325,2.89759111404419,0,0,normal,0,0,0
404,155,vehicle.carlamotors.carlacola,slow_through,77.5945818488112,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.264737844467163,-2.46761250495911,0,0,normal,0,0,0
404,156,vehicle.bh.crossbike,roadside_edge,44.4994206732642,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0944762006402016,-0.408573865890503,0,0,normal,0,0,0
404,157,vehicle.audi.tt,turn_right,37.7655058345077,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.186730831861496,0.34615695476532,0,0,normal,0,0,0
404,158,vehicle.mitsubishi.fusorosa,straight_through,135.715284593265,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-1.03683841228485,-0.0338227301836014,0,0,normal,0,8,0
404,159,vehicle.vespa.zx125,informal_merge,16.0896454936088,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00211022421717644,-0.00204998906701803,0,0,normal,0,0,0
404,160,vehicle.nissan.micra,turn_right,103.569184218347,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.730678260326385,-0.510940194129944,0,0,normal,0,0,0
404,161,vehicle.yamaha.yzf,following_ego_lane,188.435418841427,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,2.30632281303406,-2.16860580444336,0,0,normal,0,0,0
405,152,vehicle.tesla.model3,straight_through,103.908422264401,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000243091562879272,0.0159463565796614,0,0,normal,0,0,0
405,153,vehicle.harley-davidson.low_rider,turn_left,26.0848370097386,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.00112373975571245,2.39484119415283,0,0,normal,0,0,0
405,154,vehicle.diamondback.century,roadside_edge,97.8415519675863,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.41638258099556,2.90019655227661,0,0,normal,0,0,0
405,155,vehicle.carlamotors.carlacola,slow_through,77.7108106587834,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.284588605165482,-2.46527695655823,0,0,normal,0,0,0
405,156,vehicle.bh.crossbike,roadside_edge,44.4059495367656,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.127631187438965,-0.288452833890915,0,0,normal,0,0,0
405,157,vehicle.audi.tt,turn_right,37.9452596520149,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.55263614654541,-0.36405611038208,0,0,normal,0,0,0
405,158,vehicle.mitsubishi.fusorosa,straight_through,136.249225562913,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-1.27166092395782,-0.00482458854094148,0,0,normal,0,8,0
