tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
175,0.0441965355401075,0,0.00736608925668458,-10.4881189363823,emergency_stop,1,49.9138002110933,8.24288940431039,98,9
176,0.0290943227001404,0,0.00484905378335673,-3.87900493638226,emergency_stop,14,49.9166774662721,8.24254035949825,107,9
177,0.0114725061786954,0,0.0019120843631159,2.71082506361774,emergency_stop,14,49.919352266165,8.23745298385739,116,9
178,0.0220152677596806,0,0.0036692112932801,9.34893106361774,emergency_stop,13,49.9174528515612,8.18937063217294,125,9
179,0.0329649891194075,0,0.00549416485323458,15.8462170636177,emergency_stop,13,49.9136507631054,8.16261863708627,132,7
180,0.0132133722753465,0,0.00220222871255774,9.37575106361774,emergency_stop,3,49.9106105932458,8.144132137301,136,4
181,0.0158301149036028,0,0.0026383524839338,2.86789306361774,emergency_stop,3,49.9093088971337,8.1334047317529,145,9
182,0.0160532814233471,0,0.00267554690389118,-3.79594093638226,emergency_stop,4,49.9091376202066,8.13268136978379,149,4
183,0.0114403741172184,0,0.00190672901953639,-10.3666729363823,emergency_stop,5,49.9108478807726,8.11915302276828,151,2
184,0.00788165304835899,0,0.00131360884139316,-16.9984189363823,emergency_stop,5,49.9120797130513,8.11732101440647,151,0
185,0.00341989043137336,0.298290054784313,0,-10.3999189363823,brake,7,49.9129802139314,8.11521863937577,151,0
186,0.0279941047021735,0.286002947648913,0,-3.78411493638226,brake,8,49.9138270987478,8.10317754746755,151,0
187,0.0706428127978251,0.264678593601087,0,2.87866906361774,brake,8,49.9128817184572,8.11005353928884,151,0
188,0.238758264762014,0.180620867618993,0,9.44820706361774,brake,8,49.9022137220484,8.09300756455739,151,0
189,0.362969362436246,0.118515318781877,0,9.8602337299057,brake,8,49.8803697023538,7.9669852256902,151,0
190,0.438785269206295,0.0806073653968524,0,9.46980137775969,brake,8,49.8483090824849,7.69794940949758,151,0
191,0.48329138875272,0.05835430562364,0,8.84651015323383,brake,8,49.812616798961,7.39438629151662,151,0
192,0.502134554897659,0.0489327225511706,0,8.37309975780722,brake,8,49.7734623665984,7.08583211900075,151,0
193,0.495758593581896,0.0521207032090518,0,7.77441528326365,brake,8,49.7334944955561,6.78048229218801,151,0
194,0.487491804714937,0.0562540976425315,0,7.24098219200979,brake,8,49.6945606436695,6.50401496888478,151,0
195,0.474987916959861,0.0625060415200693,0,6.84890012562014,brake,8,49.6562266409099,6.24911737443288,151,0
196,0.469696934320458,0.065151532839771,0,13.3848681256201,brake,10,49.6223911431199,6.03586149215866,151,0
197,0.465345770373236,0.0673271148133818,0,6.87550412562014,brake,5,49.5843450305541,5.73556375503757,151,0
198,0.469682314529196,0.0651588427354018,0,0.218840125620137,brake,6,49.5462421983321,5.42035627364305,151,0
199,0.467788666935793,1,0,-6.48046587437986,avoid,6,49.5110113593709,5.31154441834243,151,0
200,0.515082599156273,1,0,-6.7255523166999,avoid,7,49.4795408367389,5.41376352312537,151,0
201,0.916976616158231,0.941511691920884,0,-5.51236464715505,avoid,7,49.4399533628487,5.72355175017411,151,0
202,1.64605805194763,0.576970974026185,0,1.16096135284495,avoid,15,49.3567047918769,6.29483509063952,151,0
203,2.27225107906643,0.263874460466782,0,7.70648735284495,avoid,15,49.2478659742024,6.58272933959755,151,0
204,2.68852431070591,0.055737844647044,0,14.299065352845,avoid,15,49.0748796166972,6.0213575363153,151,0
205,2.78156304789181,0.00921847605409543,0,20.856933352845,avoid,15,48.8555147218052,4.19895601272506,151,0
206,2.69214360374243,0.0539281981287862,0,14.325549352845,avoid,8,48.6424411703291,1.64186525344891,151,0
207,2.63289098282066,0.083554508589671,0,7.72887335284495,avoid,8,48.4016457213175,-1.39318895340098,151,0
208,2.58728414570051,0.106357927149744,0,1.26387335284495,avoid,6,48.1926160622113,-3.18063545227154,151,0
209,2.52504113467861,0.137479432660697,0,-5.34966264715505,avoid,6,47.9620384404526,-3.99618864060255,151,0
210,2.48057042694274,0.159714786528631,0,-11.902700647155,avoid,8,47.7920274538646,-3.88714933395419,151,0
211,2.43898565310163,0.180507173449183,0,-18.398270647155,avoid,6,47.6213338534481,-2.66949558258392,151,0
212,2.40115099813976,0.199424500930121,0,-25.079312647155,avoid,1,47.4840357370771,-0.510223388671801,151,0
213,2.35655073874015,0.321724630629923,0,-31.713428647155,replan,1,47.3791846205182,2.72083604335317,151,0
214,2.33151136977234,0.234244315113829,0,-31.1296427645837,avoid,4,47.324224143042,6.36679506301769,151,0
215,2.3686461607358,0.215676919632099,0,-32.1196929646054,avoid,3,47.306909025615,10.3605508804302,151,0
216,2.42568066379038,0.18715966810481,0,-25.6200609646054,avoid,3,47.3141268609494,15.8849372863764,151,0
217,2.54175368465199,0.129123157674006,0,-19.0517289646054,avoid,3,47.3427116179831,21.0880718231206,151,0
218,2.61878803718552,0.0906059814072382,0,-12.5342349646054,avoid,4,47.3609369279739,24.9692993164068,151,0
219,2.63783140803112,0.0810842959844413,0,-5.87122296460536,avoid,4,47.3681949546895,27.4586982727053,151,0
220,2.60952339063126,0.0952383046843686,0,0.73067903539464,avoid,2,47.3605187921385,29.1097545623791,151,0
