tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState
318,113,vehicle.carlamotors.carlacola,slow_through,64.3134511067458,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0254168007522821,-0.115387097001076,0,0,normal
318,114,vehicle.bh.crossbike,roadside_edge,81.867144180951,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0380122326314449,-2.96968793869019,0,0,normal
318,115,vehicle.audi.tt,turn_right,24.2322421461381,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00338216708041728,0.00311871757730842,0,0,normal
318,116,vehicle.mitsubishi.fusorosa,straight_through,4.76184241588284,-4.99948794685753,0.0715560565314597,0,0,2.58868851688021e-07,6.78788239838468e-07,1,1,normal
318,117,vehicle.vespa.zx125,informal_merge,47.9449998777921,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.03077292442322,-1.29686439037323,0,0,normal
318,118,vehicle.nissan.micra,turn_right,93.3338641428113,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.74951994419098,2.30041480064392,0,0,normal
318,119,vehicle.yamaha.yzf,following_ego_lane,184.322833314061,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.0845333561301231,-0.00487304572016001,0,0,normal
319,110,vehicle.tesla.model3,straight_through,100.594979316644,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000162998476298526,0.011329147964716,0,0,normal
319,111,vehicle.harley-davidson.low_rider,turn_left,20.2236078413375,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.09975815564394,0.040512815117836,0,0,normal
319,112,vehicle.diamondback.century,roadside_edge,101.372457933953,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.033980593085289,-0.172079935669899,0,0,normal
319,113,vehicle.carlamotors.carlacola,slow_through,64.3848183081495,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0150122353807092,-0.066037118434906,0,0,normal
319,114,vehicle.bh.crossbike,roadside_edge,82.1326159153571,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0367695093154907,-2.97172856330872,0,0,normal
319,115,vehicle.audi.tt,turn_right,24.2307662181585,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00363256619311869,0.0036639638710767,0,0,normal
319,116,vehicle.mitsubishi.fusorosa,straight_through,4.76196402417961,-4.99948794685753,0.0715560565314597,0,0,2.56219863103979e-07,7.51292816403293e-07,1,1,normal
319,117,vehicle.vespa.zx125,informal_merge,48.1545064487601,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.02212023735046,-1.30948305130005,0,0,normal
319,118,vehicle.nissan.micra,turn_right,93.6741357308908,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.81609582901001,2.2311749458313,0,0,normal
319,119,vehicle.yamaha.yzf,following_ego_lane,184.328048413635,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.0896861031651497,-0.00464971782639623,0,0,normal
320,110,vehicle.tesla.model3,straight_through,100.588537955668,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000184142991201952,0.0126965316012502,0,0,normal
320,111,vehicle.harley-davidson.low_rider,turn_left,20.2400514658752,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.377020716667175,-0.226896852254868,0,0,normal
320,112,vehicle.diamondback.century,roadside_edge,101.413056569713,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.343161344528198,-0.133615612983704,0,0,normal
320,113,vehicle.carlamotors.carlacola,slow_through,64.4558609826237,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0149115342646837,-0.0524240285158157,0,0,normal
